ID,County,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
IL-081,Jefferson,Illinois,58.3,3.4,129,54.8
IL-083,Jersey,Illinois,57.4,3.4,129,54
IL-085,Jo Daviess,Illinois,51.2,4.3,128,46.8
IL-087,Johnson,Illinois,59.1,3.2,128,56
IL-089,Kane,Illinois,52.7,4.7,130,48
IL-091,Kankakee,Illinois,53.7,4.1,128,49.6
IL-093,Kendall,Illinois,53.5,4.6,129,48.9
IL-095,Knox,Illinois,53.8,3.9,129,49.9
IL-097,Lake,Illinois,52.7,5.1,130,47.6
IL-099,LaSalle,Illinois,53.4,4.3,129,49.1
IL-101,Lawrence,Illinois,57.6,3.2,128,54.4
IL-103,Lee,Illinois,52.7,4.7,130,48.1
IL-105,Livingston,Illinois,54.3,4.6,129,49.6
IL-107,Logan,Illinois,55.1,3.5,129,51.6
IL-109,McDonough,Illinois,54.5,3.5,128,51.1
IL-111,McHenry,Illinois,51.6,4.5,130,47.1
IL-113,McLean,Illinois,54.5,4.5,129,50
IL-115,Macon,Illinois,55.2,3.5,129,51.7
IL-117,Macoupin,Illinois,56.8,3.6,129,53.2
IL-119,Madison,Illinois,57.7,3.1,128,54.6
IL-121,Marion,Illinois,57.7,3.6,129,54.1
IL-123,Marshall,Illinois,54.3,4.5,129,49.8
IL-125,Mason,Illinois,55.7,3.7,128,52
IL-127,Massac,Illinois,60.4,3.6,129,56.8
IL-129,Menard,Illinois,55.2,3.2,126,52.1
IL-131,Mercer,Illinois,53.8,4,130,49.8
IL-133,Monroe,Illinois,58.8,3.3,127,55.4
IL-135,Montgomery,Illinois,57,3.9,129,53
IL-137,Morgan,Illinois,55.7,3.3,129,52.3
IL-139,Moultrie,Illinois,55.4,3.4,127,52
IL-141,Ogle,Illinois,52.2,4.6,130,47.6
IL-143,Peoria,Illinois,55.2,4.8,130,50.4
IL-145,Perry,Illinois,58.8,3.7,129,55
IL-147,Piatt,Illinois,55.1,4,129,51.1
IL-149,Pike,Illinois,56.1,3.2,128,52.9
IL-151,Pope,Illinois,59.3,3.1,128,56.2
IL-153,Pulaski,Illinois,60.4,3.6,129,56.8
IL-155,Putnam,Illinois,53.8,4.1,129,49.8
IL-157,Randolph,Illinois,58.5,3.3,129,55.2
IL-159,Richland,Illinois,57.6,3.3,129,54.2
IL-161,Rock Island,Illinois,53.7,4.3,130,49.3
IL-163,St. Clair,Illinois,58.1,2.9,126,55.2
IL-165,Saline,Illinois,58.7,2.9,128,55.8
IL-167,Sangamon,Illinois,55.9,3.6,129,52.3
IL-169,Schuyler,Illinois,55.3,3.4,129,51.9
IL-171,Scott,Illinois,56,3.1,128,52.9
IL-173,Shelby,Illinois,55.9,3.3,127,52.6
IL-175,Stark,Illinois,53.8,4.3,130,49.4
IL-177,Stephenson,Illinois,51.1,4.4,128,46.7
IL-179,Tazewell,Illinois,55.3,4.5,130,50.8
IL-181,Union,Illinois,59,3.2,129,55.8
IL-183,Vermilion,Illinois,54.5,3.5,127,51.1
IL-185,Wabash,Illinois,58.3,3.4,129,54.9
IL-187,Warren,Illinois,53.8,3.7,129,50.1
IL-189,Washington,Illinois,58.2,3.4,129,54.8
IL-191,Wayne,Illinois,57.9,3.3,126,54.7
IL-193,White,Illinois,59,3.5,129,55.6
IL-195,Whiteside,Illinois,53.2,4.8,130,48.4
IL-197,Will,Illinois,53.6,4.3,128,49.3
IL-199,Williamson,Illinois,58.7,3.2,129,55.4
IL-201,Winnebago,Illinois,52.2,4.8,130,47.4
IL-203,Woodford,Illinois,54.4,4.7,129,49.7
IN-001,Adams,Indiana,54,4.4,129,49.5
IN-003,Allen,Indiana,53.7,4.4,130,49.3
IN-005,Bartholomew,Indiana,56.6,3.7,129,52.9
IN-007,Benton,Indiana,53.9,4.1,129,49.8
IN-009,Blackford,Indiana,54.2,3.8,127,50.4
IN-011,Boone,Indiana,54,3.9,129,50.2
IN-013,Brown,Indiana,55.9,3.7,130,52.2
IN-015,Carroll,Indiana,54,3.9,128,50.2
IN-017,Cass,Indiana,53.5,3.7,127,49.8
IN-019,Clark,Indiana,58,3.6,130,54.3
IN-021,Clay,Indiana,56.4,4.3,130,52.2
IN-023,Clinton,Indiana,53.8,3.7,128,50.1
IN-025,Crawford,Indiana,57,2.6,126,54.4
IN-027,Daviess,Indiana,57.5,3.9,130,53.6
IN-029,Dearborn,Indiana,56.9,4.2,130,52.7
IN-031,Decatur,Indiana,55.9,3.6,129,52.3
IN-033,DeKalb,Indiana,52.6,4.1,129,48.5
IN-035,Delaware,Indiana,54.2,3.7,127,50.6
IN-037,Dubois,Indiana,57.3,3,128,54.2
IN-039,Elkhart,Indiana,52.7,4.6,130,48.1
IN-041,Fayette,Indiana,54.8,3.7,130,51.1
IN-043,Floyd,Indiana,58.3,3.8,130,54.5
IN-045,Fountain,Indiana,54.3,3.3,127,50.9
IN-047,Franklin,Indiana,55.7,3.8,130,51.9
IN-049,Fulton,Indiana,53.1,4.2,128,48.9
IN-051,Gibson,Indiana,58.8,3.7,129,55
IN-053,Grant,Indiana,54.5,4.1,130,50.4
IN-055,Greene,Indiana,56.8,4.2,130,52.5
IN-057,Hamilton,Indiana,54.5,3.7,129,50.8
IN-059,Hancock,Indiana,55.2,3.9,130,51.3
IN-061,Harrison,Indiana,58.2,3.6,130,54.6
IN-063,Hendricks,Indiana,54.8,3.8,130,50.9
IN-065,Henry,Indiana,54.3,3.9,130,50.4
IN-067,Howard,Indiana,53.9,3.8,128,50.2
IN-069,Huntington,Indiana,53.8,4,129,49.8
IN-071,Jackson,Indiana,57.1,3.8,130,53.3
IN-073,Jasper,Indiana,53.4,4,128,49.4
IN-075,Jay,Indiana,53.9,4,128,50
IN-077,Jefferson,Indiana,57.6,4,130,53.6
IN-079,Jennings,Indiana,57,3.7,130,53.3
IN-081,Johnson,Indiana,55.9,4,130,51.8
IN-083,Knox,Indiana,57.8,3.7,130,54.2
IN-085,Kosciusko,Indiana,52.9,4.2,129,48.7
IN-087,LaGrange,Indiana,52.5,4.4,130,48
IN-089,Lake,Indiana,53.5,4.4,130,49.1
IN-091,LaPorte,Indiana,53.2,4.5,130,48.7
IN-093,Lawrence,Indiana,56.3,3.4,129,52.9
IN-095,Madison,Indiana,54.7,3.8,129,50.8
IN-097,Marion,Indiana,55.4,3.9,130,51.5
IN-099,Marshall,Indiana,53,4.7,130,48.3
IN-101,Martin,Indiana,56.9,3.7,130,53.2
IN-103,Miami,Indiana,53.8,3.8,128,49.9
IN-105,Monroe,Indiana,55.7,3.6,130,52
IN-107,Montgomery,Indiana,54.1,3.7,127,50.4
IN-109,Morgan,Indiana,55.7,3.8,129,51.9
IN-111,Newton,Indiana,53.6,4,129,49.6
IN-113,Noble,Indiana,52.4,4,128,48.3
IN-115,Ohio,Indiana,57.8,4.4,130,53.3
IN-117,Orange,Indiana,56.7,3.1,128,53.5
IN-119,Owen,Indiana,56.2,4.2,130,52
IN-121,Parke,Indiana,54.6,3,127,51.6
IN-123,Perry,Indiana,57.3,2,124,55.3
IN-125,Pike,Indiana,58,3.7,130,54.4
IN-127,Porter,Indiana,53.3,4.5,130,48.8
IN-129,Posey,Indiana,59.4,3.3,128,56
IN-131,Pulaski,Indiana,53.1,4.1,128,49.1
IN-133,Putnam,Indiana,54.7,3.5,129,51.2
IN-135,Randolph,Indiana,53.7,3.8,128,49.9
IN-137,Ripley,Indiana,56.3,3.8,130,52.4
IN-139,Rush,Indiana,55.2,3.9,130,51.4
IN-141,St. Joseph,Indiana,53.1,4.9,130,48.2
IN-143,Scott,Indiana,57.6,3.9,130,53.7
IN-145,Shelby,Indiana,56.2,4,130,52.2
IN-147,Spencer,Indiana,58.2,2.5,127,55.7
IN-149,Starke,Indiana,53.2,4.4,130,48.8
IN-151,Steuben,Indiana,52.2,4.5,130,47.7
IN-153,Sullivan,Indiana,57.4,4.4,130,53.1
IN-155,Switzerland,Indiana,58.1,4.5,130,53.6
IN-157,Tippecanoe,Indiana,54.4,4,129,50.4
IN-159,Tipton,Indiana,54.1,3.9,129,50.3
IN-161,Union,Indiana,54.7,3.6,130,51.1
IN-163,Vanderburgh,Indiana,59.5,3.6,129,55.9
IN-165,Vermillion,Indiana,54.9,3.1,127,51.8
IN-167,Vigo,Indiana,56.8,4.3,129,52.5
IN-169,Wabash,Indiana,53.8,3.9,129,49.9
IN-171,Warren,Indiana,54.2,3.7,128,50.5
IN-173,Warrick,Indiana,58.7,3.4,128,55.3
IN-175,Washington,Indiana,56.9,3.7,130,53.3
IN-177,Wayne,Indiana,53.9,3.5,127,50.3
IN-179,Wells,Indiana,54,4.2,129,49.8
IN-181,White,Indiana,53.8,4.1,128,49.7
IN-183,Whitley,Indiana,52.9,3.9,129,49
IA-001,Adair,Iowa,52,3.5,127,48.5
IA-003,Adams,Iowa,52.8,3.7,128,49
IA-005,Allamakee,Iowa,49.2,3.9,127,45.3
IA-007,Appanoose,Iowa,53.6,3.3,127,50.3
IA-009,Audubon,Iowa,51.1,3.5,128,47.6
IA-011,Benton,Iowa,51,3.7,127,47.3
IA-013,Black Hawk,Iowa,51.2,4.6,128,46.6
IA-015,Boone,Iowa,51.8,4.1,128,47.7
IA-017,Bremer,Iowa,50.2,4.6,128,45.6
IA-019,Buchanan,Iowa,50.2,4.1,128,46.1
IA-021,Buena Vista,Iowa,50.2,4.3,127,45.9
IA-023,Butler,Iowa,50.5,4.5,128,46
IA-025,Calhoun,Iowa,51,4.1,128,46.9
IA-027,Carroll,Iowa,51.4,4.3,128,47.1
IA-029,Cass,Iowa,52.2,3.5,128,48.7
IA-031,Cedar,Iowa,51.9,3.6,127,48.3
IA-033,Cerro Gordo,Iowa,49.4,4.5,127,45
IA-035,Cherokee,Iowa,50.1,4.1,127,46
IA-037,Chickasaw,Iowa,49,4.2,128,44.8
IA-039,Clarke,Iowa,53.5,4,128,49.5
IA-041,Clay,Iowa,49.9,4.8,128,45.1
IA-043,Clayton,Iowa,49.9,3.9,128,46
IA-045,Clinton,Iowa,52.9,4.5,130,48.4
IA-047,Crawford,Iowa,51.8,4.6,130,47.2
IA-049,Dallas,Iowa,52.7,3.9,128,48.8
IA-051,Davis,Iowa,53.7,3.2,127,50.5
IA-053,Decatur,Iowa,54,4,129,50
IA-055,Delaware,Iowa,50.3,4.2,128,46
IA-057,Des Moines,Iowa,53.9,3.4,127,50.5
IA-059,Dickinson,Iowa,49,4.5,128,44.5
IA-061,Dubuque,Iowa,50.8,4.1,128,46.7
IA-063,Emmet,Iowa,49.3,4.8,128,44.5
IA-065,Fayette,Iowa,49.1,4,128,45.2
IA-067,Floyd,Iowa,49.5,4.2,128,45.3
IA-069,Franklin,Iowa,50.1,4.6,128,45.5
IA-071,Fremont,Iowa,54.3,3.4,126,50.9
IA-073,Greene,Iowa,51.5,3.8,128,47.7
IA-075,Grundy,Iowa,51,4.4,128,46.6
IA-077,Guthrie,Iowa,51.7,3.5,128,48.2
IA-079,Hamilton,Iowa,50.5,3.8,127,46.7
IA-081,Hancock,Iowa,49.4,4.3,127,45.1
IA-083,Hardin,Iowa,50.9,4.5,128,46.4
IA-085,Harrison,Iowa,52.6,3.8,129,48.8
IA-087,Henry,Iowa,53.2,2.9,125,50.3
IA-089,Howard,Iowa,48.1,4.4,128,43.7
IA-091,Humboldt,Iowa,50.2,3.9,127,46.4
IA-093,Ida,Iowa,51.1,4.4,128,46.7
IA-095,Iowa,Iowa,52.3,4,128,48.2
IA-097,Jackson,Iowa,52,4.4,129,47.6
IA-099,Jasper,Iowa,52.9,4.3,130,48.6
IA-101,Jefferson,Iowa,53,3,126,50
IA-103,Johnson,Iowa,52.2,3.7,128,48.5
IA-105,Jones,Iowa,51.4,4.2,128,47.2
IA-107,Keokuk,Iowa,53,4,129,49
IA-109,Kossuth,Iowa,49.9,4.7,128,45.2
IA-111,Lee,Iowa,54.1,2.7,124,51.4
IA-113,Linn,Iowa,51.4,4.1,128,47.2
IA-115,Louisa,Iowa,53.9,4,130,49.9
IA-117,Lucas,Iowa,53.4,3.6,127,49.8
IA-119,Lyon,Iowa,49.1,3.9,127,45.1
IA-121,Madison,Iowa,53.2,3.9,128,49.2
IA-123,Mahaska,Iowa,53.4,4.1,129,49.3
IA-125,Marion,Iowa,53.7,3.9,128,49.8
IA-127,Marshall,Iowa,51.8,4.3,128,47.5
IA-129,Mills,Iowa,53.7,3.4,127,50.3
IA-131,Mitchell,Iowa,48.6,4.3,127,44.3
IA-133,Monona,Iowa,51.9,3.9,129,48
IA-135,Monroe,Iowa,53.6,3.5,127,50.1
IA-137,Montgomery,Iowa,53.3,3.6,128,49.7
IA-139,Muscatine,Iowa,53,3.6,128,49.4
IA-141,O&#039;Brien,Iowa,49.6,4.3,127,45.4
IA-143,Osceola,Iowa,48.7,4,127,44.6
IA-145,Page,Iowa,53.9,3.6,127,50.3
IA-147,Palo Alto,Iowa,50,4.7,128,45.3
IA-149,Plymouth,Iowa,50.5,4,128,46.5
IA-151,Pocahontas,Iowa,50.3,4,127,46.3
IA-153,Polk,Iowa,53.2,4,128,49.2
IA-155,Pottawattamie,Iowa,52.9,3.5,128,49.4
IA-157,Poweshiek,Iowa,52.3,4.3,129,48
IA-159,Ringgold,Iowa,53.6,4,129,49.5
IA-161,Sac,Iowa,51.1,4.5,128,46.6
IA-163,Scott,Iowa,53.5,4.6,130,48.9
IA-165,Shelby,Iowa,51.8,3.8,128,48
IA-167,Sioux,Iowa,49.7,3.8,127,45.9
IA-169,Story,Iowa,52,4.3,128,47.7
IA-171,Tama,Iowa,51.4,4.1,128,47.2
IA-173,Taylor,Iowa,53.5,3.9,129,49.5
IA-175,Union,Iowa,52.9,3.8,128,49
IA-177,Van Buren,Iowa,53.3,2.5,123,50.8
IA-179,Wapello,Iowa,53.5,3.5,128,50
IA-181,Warren,Iowa,53.7,3.8,128,50
IA-183,Washington,Iowa,53,3.9,129,49.2
IA-185,Wayne,Iowa,53.5,3.5,127,50
IA-187,Webster,Iowa,50.5,3.7,126,46.8
IA-189,Winnebago,Iowa,48.8,4.3,127,44.6
IA-191,Winneshiek,Iowa,48.9,4.6,129,44.3
IA-193,Woodbury,Iowa,51.2,3.9,129,47.3
IA-195,Worth,Iowa,48.7,4.3,127,44.4
IA-197,Wright,Iowa,49.7,3.9,127,45.9
KS-001,Allen,Kansas,58.8,2.8,126,56
KS-003,Anderson,Kansas,58.2,2.9,128,55.3
KS-005,Atchison,Kansas,56.6,3.6,129,53
KS-007,Barber,Kansas,60.2,3.7,128,56.6
KS-009,Barton,Kansas,56.9,2.6,124,54.3
KS-011,Bourbon,Kansas,59.1,2.9,127,56.1
KS-013,Brown,Kansas,56,3.8,129,52.2
KS-015,Butler,Kansas,59.4,3.7,129,55.6
KS-017,Chase,Kansas,57.5,2.9,123,54.6
KS-019,Chautauqua,Kansas,60.9,3.5,129,57.4
KS-021,Cherokee,Kansas,60.9,3.4,128,57.5
KS-023,Cheyenne,Kansas,55,4.2,130,50.7
KS-025,Clark,Kansas,59.8,3.3,127,56.5
KS-027,Clay,Kansas,57.2,3.6,127,53.6
KS-029,Cloud,Kansas,57.1,3.9,130,53.2
KS-031,Coffey,Kansas,59.2,4.2,129,55
KS-033,Comanche,Kansas,59.9,3.5,128,56.4
KS-035,Cowley,Kansas,60.6,3.7,129,56.8
KS-037,Crawford,Kansas,60,3.3,128,56.7
KS-039,Decatur,Kansas,54.7,3.3,128,51.3
KS-041,Dickinson,Kansas,57.9,3.6,127,54.3
KS-043,Doniphan,Kansas,56.8,3.8,129,53
KS-045,Douglas,Kansas,58.1,3.7,129,54.4
KS-047,Edwards,Kansas,58.1,3.4,128,54.8
KS-049,Elk,Kansas,59.8,3.4,129,56.4
KS-051,Ellis,Kansas,56.6,3.1,128,53.5
KS-053,Ellsworth,Kansas,58,3.6,128,54.4
KS-055,Finney,Kansas,57.1,3.6,129,53.4
KS-057,Ford,Kansas,58.4,3.6,129,54.7
KS-059,Franklin,Kansas,58.2,3.4,129,54.8
KS-061,Geary,Kansas,57.4,3.4,127,54
KS-063,Gove,Kansas,56.1,3.4,128,52.7
KS-065,Graham,Kansas,55.6,2.9,126,52.7
KS-067,Grant,Kansas,57.5,3.1,128,54.4
KS-069,Gray,Kansas,57.6,3.5,128,54.2
KS-071,Greeley,Kansas,54.6,2.8,127,51.8
KS-073,Greenwood,Kansas,59.1,3.6,129,55.5
KS-075,Hamilton,Kansas,56.2,2.8,126,53.5
KS-077,Harper,Kansas,60.9,3.8,129,57.1
KS-079,Harvey,Kansas,58.6,3.2,127,55.4
KS-081,Haskell,Kansas,57.5,3.2,128,54.3
KS-083,Hodgeman,Kansas,58.1,3.6,130,54.5
KS-085,Jackson,Kansas,56.3,3.4,128,52.9
KS-087,Jefferson,Kansas,57.2,3.6,129,53.6
KS-089,Jewell,Kansas,55.6,3.6,128,52
KS-091,Johnson,Kansas,58.3,4,129,54.2
KS-093,Kearny,Kansas,56.8,3.4,128,53.4
KS-095,Kingman,Kansas,59.3,3.2,128,56.1
KS-097,Kiowa,Kansas,58.8,3.4,127,55.4
KS-099,Labette,Kansas,60.5,3,128,57.6
KS-101,Lane,Kansas,56.7,3.8,130,52.9
KS-103,Leavenworth,Kansas,57.7,3.8,129,53.9
KS-105,Lincoln,Kansas,57.6,3.8,129,53.8
KS-107,Linn,Kansas,58.4,2.9,128,55.5
KS-109,Logan,Kansas,55.9,3.7,128,52.2
KS-111,Lyon,Kansas,58.4,4,129,54.4
KS-113,McPherson,Kansas,58.2,3.5,127,54.7
KS-115,Marion,Kansas,57.7,3,125,54.6
KS-117,Marshall,Kansas,55.5,3.1,127,52.3
KS-119,Meade,Kansas,59.1,3.2,128,55.9
KS-121,Miami,Kansas,58.4,3.7,129,54.7
KS-123,Mitchell,Kansas,56.5,3.4,128,53.1
KS-125,Montgomery,Kansas,60.8,3,128,57.8
KS-127,Morris,Kansas,57.2,3.4,128,53.8
KS-129,Morton,Kansas,57.9,2.9,128,55
KS-131,Nemaha,Kansas,55.4,3.4,127,52
KS-133,Neosho,Kansas,59.9,3.1,128,56.8
KS-135,Ness,Kansas,57,3.1,127,53.9
KS-137,Norton,Kansas,54.5,2.9,124,51.7
KS-139,Osage,Kansas,58.4,4.1,129,54.3
KS-141,Osborne,Kansas,56.4,3.2,128,53.1
KS-143,Ottawa,Kansas,57.8,4,129,53.9
KS-145,Pawnee,Kansas,57.3,2.8,126,54.4
KS-147,Phillips,Kansas,55.1,2.9,127,52.2
KS-149,Pottawatomie,Kansas,56.5,3.2,127,53.2
KS-151,Pratt,Kansas,58.5,3.1,128,55.4
KS-153,Rawlins,Kansas,54.6,3.6,128,51.1
KS-155,Reno,Kansas,58.7,3.1,128,55.6
KS-157,Republic,Kansas,55.9,3.9,128,52
KS-159,Rice,Kansas,57.9,3,127,54.8
KS-161,Riley,Kansas,57,3.4,127,53.6
KS-163,Rooks,Kansas,56,2.9,128,53.1
KS-165,Rush,Kansas,56.7,2.7,125,54
KS-167,Russell,Kansas,57.5,3.6,129,53.9
KS-169,Saline,Kansas,58.4,3.9,128,54.5
KS-171,Scott,Kansas,56.4,3.8,129,52.6
KS-173,Sedgwick,Kansas,59.9,3.6,128,56.3
KS-175,Seward,Kansas,58.5,3.1,128,55.4
KS-177,Shawnee,Kansas,57.7,3.8,128,54
KS-179,Sheridan,Kansas,55,3.1,127,51.9
KS-181,Sherman,Kansas,54.8,4.2,129,50.6
KS-183,Smith,Kansas,55.2,3,127,52.2
KS-185,Stafford,Kansas,57.5,2.7,124,54.8
KS-187,Stanton,Kansas,57.2,2.8,127,54.4
KS-189,Stevens,Kansas,58.2,3.1,128,55.1
KS-191,Sumner,Kansas,61.1,3.9,129,57.2
KS-193,Thomas,Kansas,54.9,3.7,128,51.2
KS-195,Trego,Kansas,56.2,2.9,125,53.2
KS-197,Wabaunsee,Kansas,57.3,3.6,129,53.7
KS-199,Wallace,Kansas,55.2,3.8,128,51.4
KS-201,Washington,Kansas,55.5,3.2,126,52.3
KS-203,Wichita,Kansas,55.5,3.2,128,52.3
KS-205,Wilson,Kansas,60.2,3.3,129,56.9
KS-207,Woodson,Kansas,59.5,3.6,129,55.9
KS-209,Wyandotte,Kansas,58,3.9,129,54.1
KY-001,Adair,Kentucky,59.1,3.5,130,55.6
KY-003,Allen,Kentucky,60.2,3,128,57.2
KY-005,Anderson,Kentucky,58.8,4.3,130,54.6
KY-007,Ballard,Kentucky,61.1,3.9,130,57.2
KY-009,Barren,Kentucky,60,3.2,129,56.8
KY-011,Bath,Kentucky,57.7,3.3,130,54.4
KY-013,Bell,Kentucky,57.3,2.7,130,54.6
KY-015,Boone,Kentucky,57.8,4.4,130,53.4
KY-017,Bourbon,Kentucky,57.9,3.9,130,53.9
KY-019,Boyd,Kentucky,58.2,4.1,130,54.1
KY-021,Boyle,Kentucky,58.5,3.8,130,54.7
KY-023,Bracken,Kentucky,57,3.5,130,53.4
KY-025,Breathitt,Kentucky,58.7,3.1,130,55.6
KY-027,Breckinridge,Kentucky,58.1,2.7,127,55.4
KY-029,Bullitt,Kentucky,59.4,4,130,55.4
KY-031,Butler,Kentucky,60.1,3.4,129,56.7
KY-033,Caldwell,Kentucky,60.2,3.1,128,57.1
KY-035,Calloway,Kentucky,60.7,2.8,129,57.9
KY-037,Campbell,Kentucky,57.9,4.3,130,53.6
KY-039,Carlisle,Kentucky,61.3,3.9,130,57.5
KY-041,Carroll,Kentucky,58.5,4.4,130,54.2
KY-043,Carter,Kentucky,57.3,3.7,130,53.6
KY-045,Casey,Kentucky,58.2,3.4,130,54.8
KY-047,Christian,Kentucky,60.3,3,128,57.3
KY-049,Clark,Kentucky,58.3,3.9,130,54.4
KY-051,Clay,Kentucky,58.3,3,130,55.3
KY-053,Clinton,Kentucky,59.2,3.3,129,55.9
KY-055,Crittenden,Kentucky,59.8,3,128,56.8
KY-057,Cumberland,Kentucky,59.9,3.3,130,56.6
KY-059,Daviess,Kentucky,59,2.7,128,56.2
KY-061,Edmonson,Kentucky,60.3,3.8,130,56.5
KY-063,Elliott,Kentucky,57.3,3.3,130,54
KY-065,Estill,Kentucky,58.6,3.2,129,55.4
KY-067,Fayette,Kentucky,58.5,4.4,130,54.1
KY-069,Fleming,Kentucky,57,3.1,130,53.9
KY-071,Floyd,Kentucky,58.3,2.7,129,55.6
KY-073,Franklin,Kentucky,58.7,4.2,130,54.5
KY-075,Fulton,Kentucky,61.5,3.3,129,58.2
KY-077,Gallatin,Kentucky,58.5,4.5,130,54
KY-079,Garrard,Kentucky,58.6,3.7,130,55
KY-081,Grant,Kentucky,58,4.3,130,53.7
KY-083,Graves,Kentucky,61.1,3.5,130,57.6
KY-085,Grayson,Kentucky,59.2,3.6,129,55.7
KY-087,Green,Kentucky,59.5,3.6,130,56
KY-089,Greenup,Kentucky,57.5,4.1,130,53.5
KY-091,Hancock,Kentucky,58,2.1,125,55.9
KY-093,Hardin,Kentucky,58.9,3.7,130,55.2
KY-095,Harlan,Kentucky,56.4,2.8,130,53.5
KY-097,Harrison,Kentucky,57.7,3.8,130,53.9
KY-099,Hart,Kentucky,59.7,3.6,130,56.1
KY-101,Henderson,Kentucky,59.6,3.1,128,56.5
KY-103,Henry,Kentucky,58.2,4.1,130,54.1
KY-105,Hickman,Kentucky,61.4,3.6,130,57.8
KY-107,Hopkins,Kentucky,60,2.9,128,57
KY-109,Jackson,Kentucky,57.7,3.1,129,54.7
KY-111,Jefferson,Kentucky,59,3.7,130,55.3
KY-113,Jessamine,Kentucky,58.9,4.3,130,54.6
KY-115,Johnson,Kentucky,57.8,2.9,129,54.9
KY-117,Kenton,Kentucky,57.8,4.4,130,53.4
KY-119,Knott,Kentucky,57.7,2.6,129,55
KY-121,Knox,Kentucky,58.2,2.9,130,55.3
KY-123,Larue,Kentucky,59.1,3.7,130,55.4
KY-125,Laurel,Kentucky,58.1,3,129,55.1
KY-127,Lawrence,Kentucky,57.9,3.4,130,54.4
KY-129,Lee,Kentucky,58.7,3,130,55.6
KY-131,Leslie,Kentucky,57.9,3,130,54.9
KY-133,Letcher,Kentucky,56.7,2.4,129,54.3
KY-135,Lewis,Kentucky,56.7,3.3,130,53.4
KY-137,Lincoln,Kentucky,58,3.3,129,54.6
KY-139,Livingston,Kentucky,60.3,3.3,128,57
KY-141,Logan,Kentucky,59.7,2.5,125,57.2
KY-143,Lyon,Kentucky,60.6,3.1,128,57.5
KY-145,McCracken,Kentucky,61.1,3.9,130,57.2
KY-147,McCreary,Kentucky,57.8,2.7,128,55.1
KY-149,McLean,Kentucky,59.6,3,128,56.6
KY-151,Madison,Kentucky,58.7,3.6,129,55.1
KY-153,Magoffin,Kentucky,58,3,129,55
KY-155,Marion,Kentucky,59,3.7,130,55.2
KY-157,Marshall,Kentucky,61,3.2,129,57.7
KY-159,Martin,Kentucky,58.3,2.9,129,55.3
KY-161,Mason,Kentucky,56.5,3.1,129,53.4
KY-163,Meade,Kentucky,58.1,3,128,55.1
KY-165,Menifee,Kentucky,57.7,3.2,130,54.5
KY-167,Mercer,Kentucky,58.9,4.2,130,54.7
KY-169,Metcalfe,Kentucky,59.3,3.2,130,56
KY-171,Monroe,Kentucky,59.7,3,128,56.7
KY-173,Montgomery,Kentucky,57.9,3.7,130,54.2
KY-175,Morgan,Kentucky,57.7,3.1,130,54.6
KY-177,Muhlenberg,Kentucky,59.7,2.8,128,57
KY-179,Nelson,Kentucky,59.2,3.9,130,55.3
KY-181,Nicholas,Kentucky,57.4,3.5,130,53.8
KY-183,Ohio,Kentucky,59.3,3.1,128,56.2
KY-185,Oldham,Kentucky,57.9,3.5,130,54.3
KY-187,Owen,Kentucky,58.4,4.3,130,54
KY-189,Owsley,Kentucky,58.7,3,130,55.6
KY-191,Pendleton,Kentucky,57.7,3.9,130,53.8
KY-193,Perry,Kentucky,58.2,2.9,129,55.3
KY-195,Pike,Kentucky,58.1,2.6,129,55.5
KY-197,Powell,Kentucky,58.4,3.3,130,55.1
KY-199,Pulaski,Kentucky,58.3,3.1,128,55.2
KY-201,Robertson,Kentucky,57.1,3.4,130,53.6
KY-203,Rockcastle,Kentucky,57.8,3,129,54.8
KY-205,Rowan,Kentucky,57.1,3,130,54.1
KY-207,Russell,Kentucky,59,3.4,129,55.5
KY-209,Scott,Kentucky,58.3,4.3,130,54
KY-211,Shelby,Kentucky,58.1,3.9,130,54.3
KY-213,Simpson,Kentucky,60.1,2.8,128,57.2
KY-215,Spencer,Kentucky,58.8,3.9,130,54.9
KY-217,Taylor,Kentucky,59,3.6,130,55.4
KY-219,Todd,Kentucky,59.9,2.7,128,57.2
KY-221,Trigg,Kentucky,60.7,3.1,128,57.6
KY-223,Trimble,Kentucky,58,4,130,54
KY-225,Union,Kentucky,59.5,2.9,127,56.6
KY-227,Warren,Kentucky,60.6,3.5,128,57.2
KY-229,Washington,Kentucky,59,4,130,54.9
KY-231,Wayne,Kentucky,58.6,3.1,129,55.4
KY-233,Webster,Kentucky,59.7,2.9,128,56.8
KY-235,Whitley,Kentucky,58,2.6,129,55.4
KY-237,Wolfe,Kentucky,58.1,3.1,130,55.1
KY-239,Woodford,Kentucky,59,4.6,130,54.4
LA-001,Acadia Parish,Louisiana,70.4,2.4,126,68
LA-003,Allen Parish,Louisiana,69.5,2.3,127,67.2
LA-005,Ascension Parish,Louisiana,70.7,3.1,129,67.6
LA-007,Assumption Parish,Louisiana,70.8,2.8,129,68
LA-009,Avoyelles Parish,Louisiana,68.6,1.9,122,66.7
LA-011,Beauregard Parish,Louisiana,69.6,2.8,129,66.7
LA-013,Bienville Parish,Louisiana,67.3,3.2,128,64
LA-015,Bossier Parish,Louisiana,67.5,3.2,130,64.3
LA-017,Caddo Parish,Louisiana,67.8,3,130,64.7
